Id,Name,Year,Genre,DirectedBy,StoryBy,MusicBy,Company
movie-23,10 Things I Hate About You,1999,Comedy,Gil Junger,Karen McCullah,Richard Gibbs,Buena Vista Pictures
movie-26,"1000 Ways to Die",2008,Comedy,Alex Harvey,Tom McMahon,Jonathan Miller,Cool TV
movie-28,101 Reykjav?k,2000,Comedy,Baltasar Korm?kur,Hallgr?mur Helgason,Damon Albarn,101 Limited
movie-30,"10i entoli",2004,Crime,Yannis Lapatas,Vassilis Risvas,Marios Strofalis,Alpha TV
movie-31,11'09''01 - September 11,2002,Drama,Youssef Chahine,Youssef Chahine,Michael Brook,Bac Films
movie-32,11:14,2003,Comedy,Greg Marcks,Greg Marcks,Clint Mansell,MDP Worldwide
movie-33,Twelve,2010,Action,Joel Schumacher,Jordan Melamed,Harry Gregson-Williams,Benelux Film Distributors
movie-34,12 Angry Men,1957,Crime,Sidney Lumet,Reginald Rose,Kenyon Hopkins,United Artists
movie-35,"12 Monkeys",2015,Adventure,David Grossman,Travis Fickett,Paul Linford,Syfy
movie-36,Twelve O'Clock High,1949,Action,Henry King,Sy Bartlett,Alfred Newman,Twentieth Century Fox Film Corporation
movie-37,12 Years a Slave,2013,Biography,Steve McQueen,John Ridley,Hans Zimmer,Twentieth Century Fox Film Corporation
movie-38,12 and Holding,2005,Drama,Michael Cuesta,Anthony Cipriano,Pierre F?ldes,Alfa Films
movie-39,"12 kokuki",2002,Animation,Tsuneo Kobayashi,Sh? Aikawa,Kunihiko Ryo,Anime Works
movie-40,12 stulev,1971,Comedy,Leonid Gayday,Ilya Ilf,Aleksandr Zatsepin,Artkino Pictures
movie-41,12 stulev,1971,Comedy,Leonid Gayday,Ilya Ilf,Aleksandr Zatsepin,Artkino Pictures
movie-42,120,2008,Drama,?zhan Eren,?zhan Eren,?zhan Eren,Cinegraph
movie-43,127 Hours,2010,Adventure,Danny Boyle,Danny Boyle,A.R. Rahman,Twentieth Century Fox Film Corporation
movie-44,12:01,1993,Comedy,Jack Sholder,Richard Lupoff,Peter Rodgers Melnick,Connexion Film
movie-47,13 Rue Madeleine,1947,Action,Henry Hathaway,John Monks Jr,David Buttolph,Twentieth Century Fox Film Corporation
movie-48,13 Tzameti,2005,Crime,G?la Babluani,G?la Babluani,Arnaud Taillefer,MK2 Diffusion
movie-49,13 game sayawng,2006,Comedy,Chookiat Sakveerakul,Eakasit Thairaat,Kitti Kuremanee,Cathay-Keris Films
movie-50,13B: Fear Has a New Address,2009,Drama,Vikram K. Kumar,Abhinav Kashyap,Shankar Mahadevan,Reliance Big Pictures
movie-51,1408,2007,Horror,Mikael H?fstr?m,Matt Greenberg,Gabriel Yared,Metro-Goldwyn-Mayer (MGM)
movie-52,1492: Conquest of Paradise,1992,Adventure,Ridley Scott,Rose Bosch,Vangelis,Gaumont
movie-54,16 Blocks,2006,Action,Richard Donner,Richard Wenk,Klaus Badelt,Monolith Plus
movie-55,1776,1972,Drama,Peter H. Hunt,Sherman Edwards,Sherman Edwards,Columbia Pictures
movie-56,180? South,2010,Documentary,Chris Malloy,Jeff Johnson,Isaac Brock,Glassy Co. Ltd.
movie-57,"19-2",2014,Drama,Louis Choquette,R?al Boss?,Nicolas Maranda,Bravo Network Canada
movie-58,1942: A Love Story,1994,Romance,Vidhu Vinod Chopra,Sanjay Leela Bhansali,Rahul Dev Burman,Digital Entertainment (DEI)
movie-59,1944,2015,Drama,Elmo N?ganen,Leo Kunnas,Jaak J?risson,Garsu Pasaulio Irasai
movie-60,1971,2014,Documentary,Johanna Hamilton,Johanna Hamilton,Philip Sheppard,Yleisradio (YLE)
movie-61,1983,2014,Family,Abrid Shine,Abrid Shine,Gopi Sunder,LJ Films
movie-62,Nineteen Eighty-Four,1984,Drama,Michael Radford,George Orwell,Dominic Muldowney,Atlantic Releasing Corporation
movie-65,2 Coelhos,2012,Action,Afonso Poyart,Afonso Poyart,Andr? Abujamra,Imagem Filmes
movie-66,2 Days in Paris,2007,Comedy,Julie Delpy,Julie Delpy,Julie Delpy,Bir Film
movie-67,2 Filhos de Francisco: A Hist?ria de Zez? di Camargo & Luciano,2005,Biography,Breno Silveira,Carolina Kotscho,Caetano Veloso,Columbia TriStar
movie-68,2 Guns,2013,Action,Baltasar Korm?kur,Blake Masters,Clinton Shorter,Foresight Unlimited
movie-69,2 States,2014,Comedy,Abhishek Varman,Chetan Bhagat,Shankar Mahadevan,IG Interactive Entertainment
movie-70,"2 Stupid Dogs",1993,Animation,Donovan Cook,Donovan Cook,Chris Desmond,Cartoon Network
movie-76,2010,1984,Mystery,Peter Hyams,Arthur C. Clarke,David Shire,Metro-Goldwyn-Mayer (MGM)
movie-77,2046,2004,Drama,Kar Wai Wong,Kar Wai Wong,Shigeru Umebayashi,Block 2 Pictures
movie-79,21,2008,Biography,Robert Luketic,Peter Steinfeld,David Sardy,Buena Vista Sony Pictures Releasing (BVSPR)
movie-80,21 Grams,2003,Crime,Alejandro Gonz?lez I??rritu,Guillermo Arriaga,Gustavo Santaolalla,Focus Features
movie-81,21 Jump Street,2012,Action,Phil Lord,Michael Bacall,Mark Mothersbaugh,AcmeFilm
movie-83,22 Female Kottayam,2012,Crime,Aashiq Abu,Abhilash Kumar,Bijibal,FILM Brewery
movie-84,22 Jump Street,2014,Action,Phil Lord,Michael Bacall,Mark Mothersbaugh,Big Picture 2 Films
movie-86,"24",2001,Action,Jon Cassar,Robert Cochran,Sean Callery,20th Century Fox Television
movie-87,24 7: Twenty Four Seven,1997,Comedy,Shane Meadows,Paul Fraser,Boo Hewerdine,Finnkino
movie-89,"24: Live Another Day",2014,Action,Jon Cassar,Robert Cochran,Sean Callery,Fox Network
movie-90,25th Hour,2002,Crime,Spike Lee,David Benioff,Terence Blanchard,Buena Vista Pictures
movie-91,28 Days Later...,2002,Horror,Danny Boyle,Alex Garland,John Murphy,Twentieth Century Fox Film Corporation
movie-93,28 Weeks Later,2007,Horror,Juan Carlos Fresnadillo,Rowan Joffe,John Murphy,Twentieth Century Fox Film Corporation
movie-94,29th Street,1991,Comedy,George Gallo,Frank Pesce,William Olvis,Twentieth Century Fox Film Corporation
movie-95,2:37,2006,Drama,Murali K. Thalluri,Murali K. Thalluri,Mark Tschanz,Central Film Verleih
movie-97,2gether,2000,Drama,Nigel Dick,Brian Gunn,Camara Kambon,CITY-TV
movie-98,Spider-Man 3,2007,Action,Sam Raimi,Sam Raimi,Christopher Young,Sony Pictures Entertainment (SPE)
movie-99,3 Deewarein,2003,Crime,Nagesh Kukunoor,Nagesh Kukunoor,Salim Merchant,Schr?der Media
movie-100,3 Godfathers,1948,Drama,John Ford,Laurence Stallings,Richard Hageman,Metro-Goldwyn-Mayer (MGM)
movie-101,3 Idiots,2009,Comedy,Rajkumar Hirani,Rajkumar Hirani,Shantanu Moitra,Reliance Big Pictures
movie-102,3 Women,1977,Drama,Robert Altman,Robert Altman,Gerald Busby,Twentieth Century Fox Film Corporation
movie-104,30 Days of Night,2007,Horror,David Slade,Steve Niles,Brian Reitzell,Benelux Film Distributors
movie-105,"30 Rock",2006,Comedy,Don Scardino,Tina Fey,Jeff Richmond,National Broadcasting Company (NBC)
movie-106,"30 for 30",2009,Documentary,Jonathan Hock,Aaron Cohen,Joel Beckerman,Entertainment & Sports Programming Network (ESPN)
movie-107,300,2006,Action,Zack Snyder,Zack Snyder,Tyler Bates,Warner Bros.
movie-108,"31 minutos",2003,Comedy,Alvaro D?az,Daniel Castro,Pablo Ilabaca,Televisi?n Nacional de Chile
movie-110,35 rhums,2008,Drama,Claire Denis,Claire Denis,Tindersticks,Cinema Guild
movie-111,36 Hours,1964,Thriller,George Seaton,George Seaton,Dimitri Tiomkin,Metro-Goldwyn-Mayer (MGM)
movie-112,Quai des Orf?vres,1947,Crime,Henri-Georges Clouzot,Stanislas-Andr? Steeman,Francis Lopez,Coronis
movie-113,"37 Days",2014,History,Justin Hardy,Mark Hayhurst,Andrew Simon McAllister,BBC Worldwide
movie-115,3:10 to Yuma,2007,Adventure,James Mangold,Halsted Welles,Marco Beltrami,Lionsgate
movie-116,"3rd Rock from the Sun",1996,Comedy,Terry Hughes,Bonnie Turner,Jeff Sudakin,National Broadcasting Company (NBC)
movie-119,4 mosche di velluto grigio,1971,Crime,Dario Argento,Dario Argento,Ennio Morricone,Paramount Pictures
movie-121,42,2013,Biography,Brian Helgeland,Brian Helgeland,Mark Isham,Warner Bros.
movie-125,48 Hrs.,1982,Action,Walter Hill,Roger Spottiswoode,James Horner,Paramount Pictures
movie-129,49th Parallel,1941,Drama,Michael Powell,Emeric Pressburger,Ralph Vaughan Williams,General Film Distributors (GFD)
movie-130,5 Fingers,1952,Drama,Joseph L. Mankiewicz,Michael Wilson,Bernard Herrmann,Twentieth Century Fox Film Corporation
movie-131,5 to 7,2014,Comedy,Victor Levin,Victor Levin,Danny Bensi,IFC Films
movie-132,50 First Dates,2004,Comedy,Peter Segal,George Wing,Teddy Castellucci,Columbia Pictures
movie-133,50/50,2011,Comedy,Jonathan Levine,Will Reiser,Michael Giacchino,Summit Entertainment
movie-135,55 Days at Peking,1963,Action,Nicholas Ray,Robert Hamer,Dimitri Tiomkin,Allied Artists Pictures
movie-138,5x2,2004,Drama,Fran?ois Ozon,Fran?ois Ozon,Philippe Rombi,Alfa Films
movie-141,61*,2001,Biography,Billy Crystal,Hank Steinberg,Marc Shaiman,Home Box Office (HBO)
movie-142,"666 Park Avenue",2012,Drama,Robert Duncan McNeill,Gabriella Pierce,Trevor Morris,American Broadcasting Company (ABC)
movie-143,678,2010,Drama,Mohamed Diab,Mohamed Diab,Hani Adel,Arsenal Filmverleih
movie-144,"6Teen",2004,Animation,Karen Lessman,Terry McGurrin,Don Breithaupt,Ketnet
movie-146,7 Faces of Dr. Lao,1964,Fantasy,George Pal,Charles Beaumont,Leigh Harline,Metro-Goldwyn-Mayer (MGM)
movie-147,"7 Numara",2000,Comedy,Haluk Bener,Volkan Girgin,Serdar Kalafatoglu,Fora Film
movie-149,7 cajas,2012,Thriller,Juan Carlos Maneglia,Juan Carlos Maneglia,Fran Villalba,Breaking Glass Pictures
movie-150,7-beon-bang-ui seon-mul,2013,Comedy,Hwan-kyung Lee,Hwan-kyung Lee,Dong-jun Lee,Cathay-Keris Films
movie-154,"77 Sunset Strip",1958,Action,George Waggner,Montgomery Pittman,William Lava,American Broadcasting Company (ABC)
movie-156,"7th Heaven",1996,Drama,Joel J. Feigenbaum,Brenda Hampton,Dan Foliart,WB Television Network
movie-161,"8 Simple Rules... for Dating My Teenage Daughter",2002,Comedy,James Widdoes,Tracy Gamble,Dan Foliart,Buena Vista Television
movie-162,8 femmes,2002,Comedy,Fran?ois Ozon,Marina de Van,Krishna Levy,Celluloid Dreams
movie-163,84 Charing Cross Road,1987,Biography,David Hugh Jones,Helene Hanff,George Fenton,Columbia Pictures
movie-164,8MM,1999,Crime,Joel Schumacher,Andrew Kevin Walker,Mychael Danna,Sony Pictures Entertainment (SPE)
movie-166,9 rota,2005,Action,Fedor Bondarchuk,Iskander Galiev,Dato Evgenidze,Well Go USA Entertainment
movie-167,9/11,2002,Documentary,James Hanlon,Tom Forman,Richard Fiocca,CBS Worldwide Inc.
movie-168,99 Homes,2014,Drama,Ramin Bahrani,Ramin Bahrani,Antony Partos,Broad Green Pictures
movie-169,99 River Street,1953,Action,Phil Karlson,Robert Smith,Arthur Lange,United Artists
movie-170,99 francs,2007,Comedy,Jan Kounen,Nicolas Charlet,Jean-Jacques Hertz,Path?
movie-172,"@midnight",2013,Comedy,Martin Pasetta,Darren Belitsky,Michael Farrell,Comedy Central
